date,restaurant_id,restaurant_type,menu_item_name,meal_type,key_ingredients_tags,typical_ingredient_cost,observed_market_price,actual_selling_price,quantity_sold,has_promotion,special_event,weather_condition,year_month,category
2024-01-01,11,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,10.59,12.48,361,False,False,Sunny,2024-01,corba
2024-01-01,7,Casual Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,26.64,60.46,105,False,False,Sunny,2024-01,ana_yemek
2024-01-01,23,Fine Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,49.42,80.15,36,False,False,Rainy,2024-01,ana_yemek
2024-01-01,22,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,2.04,2.48,503,False,False,Sunny,2024-01,ana_yemek
2024-01-01,32,Fine Dining,Spaghetti Carbonara,Lunch,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,40.3,55.54,262,False,False,Rainy,2024-01,ana_yemek
2024-01-01,1,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,4.8,6.72,409,False,False,Sunny,2024-01,tatli
2024-01-01,41,Cafe,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,31.79,49.14,76,False,False,Cloudy,2024-01,ana_yemek
2024-01-01,29,Food Stall,Char Kway Teow,Dinner,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5.0,11.05,16.9,236,False,False,Cloudy,2024-01,ana_yemek
2024-01-01,2,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,17.58,27.2,176,False,False,Cloudy,2024-01,ana_yemek
2024-01-01,3,Cafe,Spaghetti Carbonara,Lunch,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,34.64,36.95,237,False,False,Rainy,2024-01,ana_yemek
2024-01-01,1,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,5.1,9.71,347,False,False,Rainy,2024-01,ana_yemek
2024-01-01,46,Casual Dining,Chicken Chop,Lunch,"chicken thigh, black pepper sauce, fries, coleslaw",8.0,28.2,39.31,270,False,False,Cloudy,2024-01,ana_yemek
2024-01-01,17,Food Stall,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,5.39,5.36,278,False,False,Cloudy,2024-01,tatli
2024-01-01,2,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,1.9,1.81,847,True,False,Sunny,2024-01,ana_yemek
2024-01-01,29,Food Stall,Chicken Rice,Dinner,"chicken, rice, ginger, garlic, chili sauce, cucumber",4.0,9.19,12.15,344,False,False,Cloudy,2024-01,ana_yemek
2024-01-01,30,Cafe,Teh Tarik,Dinner,"black tea, condensed milk, evaporated milk",0.9,3.23,3.54,412,False,False,Cloudy,2024-01,icecek
2024-01-01,3,Cafe,Iced Lemon Tea,Lunch,"black tea, lemon, sugar syrup",1.2,4.89,5.14,714,False,False,Sunny,2024-01,icecek
2024-01-01,30,Cafe,Iced Lemon Tea,Breakfast,"black tea, lemon, sugar syrup",1.2,4.67,3.45,649,True,False,Sunny,2024-01,icecek
2024-01-01,40,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,5.44,8.18,625,False,False,Sunny,2024-01,ana_yemek
2024-01-01,28,Fine Dining,Nasi Lemak,Breakfast,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,11.92,16.75,315,False,False,Sunny,2024-01,ana_yemek
2024-01-01,49,Kopitiam,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,7.38,8.2,651,False,False,Rainy,2024-01,ana_yemek
2024-01-01,27,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,15.68,14.6,410,True,False,Cloudy,2024-01,ana_yemek
2024-01-01,5,Cafe,Mushroom Soup,Dinner,"mushrooms, cream, onion, garlic, vegetable broth",3.5,12.68,19.43,73,False,True,Cloudy,2024-01,corba
2024-01-01,42,Fine Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,40.64,56.82,143,False,False,Sunny,2024-01,ana_yemek
2024-01-02,22,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,17.48,31.53,0,False,False,Sunny,2024-01,ana_yemek
