food_type,num_guests,event_type,quantity_prepared,storage,purchase_history,seasonality,prep_method,geo_location,pricing_level,wastage_amount,pricing_score,category,waste_ratio
Meat,310,Corporate,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25,1,ana_yemek,0.0556
Meat,400,Birthday,500,Room Temperature,Regular,Winter,Buffet,Suburban,High,40,3,ana_yemek,0.08
Vegetables,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,1,salata,0.0728
Meat,491,Birthday,497,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,32,3,ana_yemek,0.0644
Meat,300,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25,2,ana_yemek,0.0625
Meat,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,1,ana_yemek,0.0728
Meat,240,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20,1,ana_yemek,0.0444
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25,2,ana_yemek,0.0625
Fruits,320,Corporate,400,Refrigerated,Regular,All Seasons,Buffet,Urban,High,45,3,tatli,0.1125
Meat,400,Corporate,500,Refrigerated,Occasional,Winter,Finger Food,Urban,High,40,3,ana_yemek,0.08
Fruits,320,Wedding,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,3,tatli,0.0875
Meat,302,Birthday,371,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27,1,ana_yemek,0.0728
Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Low,25,1,ana_yemek,0.05
Meat,250,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,1,ana_yemek,0.0286
Fruits,267,Corporate,393,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,24,1,tatli,0.0611
Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40,3,ana_yemek,0.0889
Fruits,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20,1,tatli,0.05
Fruits,380,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35,3,tatli,0.07
Fruits,300,Birthday,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,25,1,tatli,0.0556
Meat,220,Social Gathering,300,Room Temperature,Regular,Winter,Buffet,Suburban,Low,10,1,ana_yemek,0.0333
Meat,220,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,30,2,ana_yemek,0.0667
Vegetables,220,Corporate,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15,1,salata,0.05
Meat,350,Corporate,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,3,ana_yemek,0.0778
Fruits,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40,3,tatli,0.08
Meat,320,Wedding,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25,2,ana_yemek,0.0625
Fruits,400,Wedding,500,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,40,3,tatli,0.08
Baked Goods,320,Corporate,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,3,tatli,0.0875
Meat,400,Birthday,500,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40,3,ana_yemek,0.08
Meat,208,Wedding,282,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Moderate,22,2,ana_yemek,0.078
Meat,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20,2,ana_yemek,0.0571
Meat,380,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25,2,ana_yemek,0.0625
Meat,438,Corporate,493,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,35,2,ana_yemek,0.071
Fruits,350,Corporate,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20,1,tatli,0.0444
Meat,220,Corporate,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,15,2,ana_yemek,0.05
Fruits,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,2,tatli,0.05
Vegetables,280,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Urban,Low,20,1,salata,0.0571
Meat,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,2,ana_yemek,0.05
Fruits,491,Wedding,497,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,32,3,tatli,0.0644
Fruits,400,Birthday,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50,3,tatli,0.1
Meat,250,Birthday,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,2,ana_yemek,0.0571
Meat,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,3,ana_yemek,0.0875
Dairy Products,439,Corporate,459,Room Temperature,Regular,Summer,Buffet,Suburban,Low,39,1,icecek,0.085
Fruits,240,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20,1,tatli,0.0444
Baked Goods,300,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,20,1,tatli,0.05
